Sample Name,Spike used,Sample Wt (g),Spike Wt (g),U fraction vol (mL),Th fraction vol (mL),Date of chemistry,U samp #,Th samp #,U samp tail #,U std1 #,U std1 tail #,U std2 #,U std2 tail #,Th std 1 #,Th std 2 #,U std conc (pg/g),Th std conc (ng/g), ,Enter Names or Values Here,,,
Procedural blank,,0,,,,,,,,,,,,,,,,Filename for U samp,U samp_no tail_meas.csv,,,
,,,,,,,,,,,,,,,,,,Filename for Th samp,Th samp_meas.csv,,,
,,,,,,,,,,,,,,,,,,Filename for U standards,U std_no tail_meas.csv,,,
,,,,,,,,,,,,,,,,,,Filename for U tail,U tail-237-236.5-234.5-233.5_meas.csv,,,
,,,,,,,,,,,,,,,,,,Filename for Th standards,Th std_meas.csv,,,
,,,,,,,,,,,,,,,,,,230Th/232Th Tail Correction,,,,
,,,,,,,,,,,,,,,,,,U239/U238 ratio,,,,
,,,,,,,,,,,,,,,,,,Detrital Th230/Th232 ratio,,,,
,,,,,,,,,,,,,,,,,,Detrital Th230/Th232 uncertainty ,,,,
,,,,,,,,,,,,,,,,,,Counts Per Second Per Volt,62415093,,,
