238U/236U,Error,238U/235U,Error,236U/233U,Error,238U/234U,Error,238U (V),Error,236U (V),Error,234U (cps),Error,Sample Name,Date and Time,File Number
6.285261E-01,3.19E-03,1.792409E+02,2.25E+01,1.001885E+00,4.48E-04,1.910858E+03,1.45E+01,9.917023E-03,5.18E-05,1.578592E-02,1.11E-05,3.243222E+02,2.23E+00,[BHT] TPB,Analysed on 17 January 2025 at 13:16,12468
1.266173E+04,1.87E+01,1.407678E+02,3.92E-03,9.972114E-01,1.69E-03,2.210920E+04,7.47E+00,5.073036E+01,6.24E-02,4.006834E-03,7.56E-06,1.432301E+05,1.86E+02,[BHT] AB10-A,Analysed on 17 January 2025 at 13:35,12474
3.828298E+03,3.36E+00,1.407601E+02,6.82E-03,1.002728E+00,1.31E-03,2.205885E+04,1.42E+01,2.721483E+01,2.76E-02,7.108978E-03,8.45E-06,7.701326E+04,9.27E+01,[BHT] AB10-B,Analysed on 17 January 2025 at 13:55,12480
2.219797E+03,1.28E+00,1.407362E+02,5.97E-03,1.000113E+00,7.93E-04,2.201417E+04,9.83E+00,2.353151E+01,2.71E-02,1.060086E-02,1.38E-05,6.672518E+04,9.12E+01,[BHT] AB10-C,Analysed on 17 January 2025 at 14:16,12486
9.495824E+03,2.35E+01,1.408562E+02,9.03E-03,1.003234E+00,2.76E-03,2.207660E+04,1.37E+01,2.208997E+01,3.08E-02,2.326696E-03,6.61E-06,6.246067E+04,9.94E+01,[BHT] AB10-D,Analysed on 17 January 2025 at 14:36,12492
2.156666E+03,8.30E-01,1.407681E+02,7.42E-03,1.002862E+00,6.90E-04,2.201529E+04,8.46E+00,2.582873E+01,4.24E-02,1.197451E-02,2.12E-05,7.323529E+04,1.15E+02,[BHT] AB10-E,Analysed on 17 January 2025 at 14:57,12498
5.225314E+02,1.21E-01,1.407812E+02,8.57E-03,1.002123E+00,5.42E-04,2.180264E+04,1.18E+01,1.660086E+01,2.05E-02,3.177014E-02,4.05E-05,4.752921E+04,5.76E+01,[BHT] AB10-F,Analysed on 17 January 2025 at 15:17,12504
2.381756E+02,5.05E-02,1.407327E+02,1.47E-02,1.001419E+00,4.02E-04,2.148168E+04,1.74E+01,7.938783E+00,1.08E-02,3.333167E-02,4.54E-05,2.306920E+04,3.78E+01,[BHT] AB10-G,Analysed on 17 January 2025 at 15:38,12510
1.188741E+04,2.85E+01,1.408354E+02,7.72E-03,1.001722E+00,2.69E-03,2.210844E+04,1.54E+01,2.596514E+01,2.86E-02,2.184625E-03,5.84E-06,7.331170E+04,8.24E+01,[BHT] AB10-H,Analysed on 17 January 2025 at 15:58,12516
4.862845E+03,5.54E+00,1.408209E+02,7.13E-03,9.990984E-01,1.29E-03,2.207672E+04,1.24E+01,2.812640E+01,3.75E-02,5.784086E-03,8.62E-06,7.952820E+04,1.15E+02,[BHT] AB10-I,Analysed on 17 January 2025 at 16:19,12522
